group,item,type,plausibility,expected,sentence,length
A,1,Inversion,implaus,j,The sister mailed the letter the niece.,7
B,1,Inversion,plaus,f,The sister mailed the niece the letter.,7
A,2,Inversion,implaus,j,The mother gave the candle the daughter.,7
B,2,Inversion,plaus,f,The mother gave the daughter the candle.,7
A,3,Inversion,implaus,j,The uncle sold the truck the father.,7
B,3,Inversion,plaus,f,The uncle sold the father the truck.,7
A,4,Inversion,implaus,j,The contractor lent the saw the homeowner.,7
B,4,Inversion,plaus,f,The contractor lent the homeowner the saw.,7
A,5,Inversion,implaus,j,The sailing club leased the boat the man.,8
B,5,Inversion,plaus,f,The sailing club leased the man the boat.,8
A,6,Inversion,implaus,j,The girl tossed the apple the boy.,7
B,6,Inversion,plaus,f,The girl tossed the boy the apple.,7
B,7,Inversion,implaus,j,The daughter passed the mother to the bowl.,8
A,7,Inversion,plaus,f,The daughter passed the bowl to the mother.,8
B,8,Inversion,implaus,j,The scuba instructor rented the tourist to the equipment.,9
A,8,Inversion,plaus,f,The scuba instructor rented the equipment to the tourist.,9
B,9,Inversion,implaus,j,The boy handed the girl to the pencil.,8
A,9,Inversion,plaus,f,The boy handed the pencil to the girl.,8
B,10,Inversion,implaus,j,The nanny threw the child to the toy.,8
A,10,Inversion,plaus,f,The nanny threw the toy to the child.,8
B,11,Inversion,implaus,j,The nephew mailed the aunt to the postcard.,8
A,11,Inversion,plaus,f,The nephew mailed the postcard to the aunt.,8
B,12,Inversion,implaus,j,The father gave the son to the car.,8
A,12,Inversion,plaus,f,The father gave the car to the son.,8
A,1,agreement_attraction,implaus,j,The waitress who sat the girls unsurprisingly were unhappy about all the noise.,13
B,1,agreement_attraction,plaus,f,The waitresses who sat the girls unsurprisingly were unhappy about all the noise.,13
A,2,agreement_attraction,implaus,j,The dog that dug the holes unfortunately were covered in mud all over.,13
B,2,agreement_attraction,plaus,f,The dogs that dug the holes unfortunately were covered in mud all over.,13
A,3,agreement_attraction,implaus,j,The boy who played the games apparently were more competitive than ever before.,13
B,3,agreement_attraction,plaus,f,The boys who played the games apparently were more competitive than ever before.,13
A,4,agreement_attraction,implaus,j,The mom who drove the kids unsurprisingly were tired of the bickering in the car.,15
B,4,agreement_attraction,plaus,f,The moms who drove the kids unsurprisingly were tired of the bickering in the car.,15
A,5,agreement_attraction,implaus,j,The kid who hid the toys definitely were in a lot of trouble.,13
B,5,agreement_attraction,plaus,f,The kids who hid the toys definitely were in a lot of trouble.,13
A,6,agreement_attraction,implaus,j,The policeman who patrolled the neighborhoods evidently were mentioned in the newspaper.,12
B,6,agreement_attraction,plaus,f,The policemen who patrolled the neighborhoods evidently were mentioned in the newspaper.,12
B,7,agreement_attraction,implaus,j,The goat who ate the cans evidently were seen on the side of the road.,15
A,7,agreement_attraction,plaus,f,The goats who ate the cans evidently were seen on the side of the road.,15
B,8,agreement_attraction,implaus,j,The scientist who prepared the experiments suddenly were scared about all the consequences.,13
A,8,agreement_attraction,plaus,f,The scientists who prepared the experiments suddenly were scared about all the consequences.,13
B,9,agreement_attraction,implaus,j,The student who wrote the professors likely were concerned about her low grade.,13
A,9,agreement_attraction,plaus,f,The students who wrote the professors likely were concerned about her low grade.,13
B,10,agreement_attraction,implaus,j,The journalist who read the reports apparently were investigated for fraudulent investigative journalism.,13
A,10,agreement_attraction,plaus,f,The journalists who read the reports apparently were investigated for fraudulent investigative journalism.,13
B,11,agreement_attraction,implaus,j,The woman who walked the dogs clearly were happy about the cross-country road trip.,14
A,11,agreement_attraction,plaus,f,The women who walked the dogs clearly were happy about the cross-country road trip.,14
B,12,agreement_attraction,implaus,j,The nurse who called the doctors unsurprisingly were excited about the good news.,13
A,12,agreement_attraction,plaus,f,The nurses who called the doctors unsurprisingly were excited about the good news.,13
A,1,comparative,plaus,f,More relatives went to my birthday party than friends did because my parents invited everyone that they knew.,18
B,1,comparative,implaus,j,More relatives went to my birthday party than my friend did because my parents invited everyone that they knew.,19
A,2,comparative,plaus,f,More financial analysts graduated from Harvard's business school than managers did even though our company is close to Boston.,19
B,2,comparative,implaus,j,More financial analysts graduated from Harvard's business school than our manager did even though our company is close to Boston. ,20
A,3,comparative,plaus,f,"Last fall, more engineers relocated to San Francisco than accountants did in order to work in our corporate offices. ",19
B,3,comparative,implaus,j,"Last fall, more engineers relocated to San Francisco than our accountant did in order to work in our corporate offices. ",20
A,4,comparative,plaus,f,Last spring more ducks hatched from eggs than chickens did due to the declining population of local predators. ,18
B,4,comparative,implaus,j,Last spring more ducks hatched from eggs than my chicken did due to the declining population of local predators.,19
A,5,comparative,plaus,f,More businesses were demolished for the new rail system than houses were but the city compensated residents for all disturbances.,20
B,5,comparative,implaus,j,More businesses were demolished for the new rail system than my house was but the city compensated residents for all disturbances. ,21
A,6,comparative,plaus,f,More businesses in our town burned down in the fire than schools did and the local residents all bought homeowners insurance.,21
B,6,comparative,implaus,j,More businesses in our town burned down in the fire than our school did and the local residents all bought homeowners insurance. ,22
B,7,comparative,plaus,f,More strawberry plants were ruined during the drought than geraniums were because geraniums generally need much less water.,18
A,7,comparative,implaus,j,More strawberry plants were ruined during the drought than my geranium was because geraniums generally need much less water. ,19
B,8,comparative,plaus,f,More married couples bought their first house in the suburbs than bachelors did since the school districts are so much better.,21
A,8,comparative,implaus,j,More married couples bought their first house in the suburbs than the bachelor did since the school districts are so much better. ,22
B,9,comparative,plaus,f,As many accountants at the firm went bald in their fifties as lawyers did in response to the stress and long hours.,22
A,9,comparative,implaus,j,As many accountants at the firm went bald in their fifties as my lawyer did in response to the stress and long hours.,23
B,10,comparative,plaus,f,More actors were cast in the director's new movie than actresses were since the actors would work for less money. ,20
A,10,comparative,implaus,j,More actors were cast in the director's new movie than the actress was since the actors would work for less money.,21
B,11,comparative,plaus,f,More guitar players went deaf from performing live shows than pop stars did since pop stars primarily work in the studio.,21
A,11,comparative,implaus,j,More guitar players went deaf from performing live shows than the pop star did since pop stars primarily work in the studio.,22
B,12,comparative,plaus,f,As many aunts attended Jane's wedding as uncles did since Jane made sure everyone would be available. ,17
A,12,comparative,implaus,j,As many aunts attended Jane's wedding as my uncle did since Jane made sure everyone would be available. ,18
A,1,depth_charge,plaus,f,"In Maria's class, no test is so difficult that she would fail it.",13
B,1,depth_charge,implaus,j,"In Maria's class, no test is too difficult to fail.",10
A,2,depth_charge,plaus,f,"In Laura's opinion, no relationship is so volatile that she would fail it.",13
B,2,depth_charge,implaus,j,"In Laura's opinion, no relationship is too volatile to fail.",10
A,3,depth_charge,plaus,f,"According to Mark, no drug is so dangerous that he would ban it.",13
B,3,depth_charge,implaus,j,"According to Mark, no drug is too dangerous to ban.",10
A,4,depth_charge,plaus,f,"Considering John's finances, no offer is so low that he would reject it.",13
B,4,depth_charge,implaus,j,"Considering John's finances, no offer is too low to reject.",10
A,5,depth_charge,plaus,f,"In Gideon's opinion, no habit is so annoying that he would discourage it.",13
B,5,depth_charge,implaus,j,"In Gideon's opinion, no habit is too annoying to discourage.",10
A,6,depth_charge,plaus,f,"According to the geologist, no data is so complicated that she would misinterpret it.",14
B,6,depth_charge,implaus,j,"According to the geologist, no data is too complicated to misinterpret.",11
B,7,depth_charge,plaus,f,"According to the politician, no social program is so wasteful that he would oppose it.",15
A,7,depth_charge,implaus,j,"According to the politician, no social program is too wasteful to oppose.",12
B,8,depth_charge,plaus,f,"For someone like Alex, no memory is so distant that he would forget it.",14
A,8,depth_charge,implaus,j,"For someone like Alex, no memory is too distant to forget.",11
B,9,depth_charge,plaus,f,"When it comes to Sharon's friends, no event is so inconvenient that she would skip it.",16
A,9,depth_charge,implaus,j,"When it comes to Sharon's friends, no event is too inconvenient to skip.",13
B,10,depth_charge,plaus,f,"During Kipp's presidential campaign, no rumor was so outlandish that he would deny it.",14
A,10,depth_charge,implaus,j,"During Kipp's presidential campaign, no rumor was too outlandish to deny.",11
B,11,depth_charge,plaus,f,"According to the movie producer, no criticism is so trivial that he would ignore it.",15
A,11,depth_charge,implaus,j,"According to the movie producer, no criticism is too trivial to ignore.",12
B,12,depth_charge,plaus,f,"Judging by Tom's work, no error is so small that he would overlook it.",14
A,12,depth_charge,implaus,j,"Judging by Tom's work, no error is too small to overlook.",11
A,1,missing_VP,plaus,f,The ancient manuscript that the grad student who the new card catalog had confused a great deal was studying in the library was missing a page.,26
B,1,missing_VP,implaus,j,The ancient manuscript that the grad student who the new card catalog had confused a great deal was missing a page.,21
A,2,missing_VP,plaus,f,The lullaby that the famous country singer who the record label had signed to a big contract was singing yesterday was written seventy years ago.,25
B,2,missing_VP,implaus,j,The lullaby that the famous country singer who the record label had signed to a big contract was written seventy years ago.,22
